41 , 1,2M , GCF_000007605.1_ASM760v1_genomic.fna
42 , 2,8M , GCF_000007625.1_ASM762v1_genomic.fna
43 , 2,5M , GCF_000007645.1_ASM764v1_genomic.fna
44 , 2,5M , GCF_000007665.1_ASM766v1_genomic.fna
45 , 4,5M , GCF_000007685.1_ASM768v1_genomic.fna
46 , 4,6M , GCF_000007705.1_ASM770v1_genomic.fna
47 , 612K , GCF_000007725.1_ASM772v1_genomic.fna
48 , 2,3M , GCF_000007745.1_ASM774v1_genomic.fna
49 , 2,0M , GCF_000007765.2_ASM776v2_genomic.fna
50 , 3,3M , GCF_000007785.1_ASM778v1_genomic.fna
51 , 6,4M , GCF_000007805.1_ASM780v1_genomic.fna
52 , 5,3M , GCF_000007825.1_ASM782v1_genomic.fna
53 , 5,1M , GCF_000007845.1_ASM784v1_genomic.fna
54 , 4,7M , GCF_000007865.1_ASM786v1_genomic.fna
55 , 4,7M , GCF_000007885.1_ASM788v1_genomic.fna
56 , 1,8M , GCF_000007905.1_ASM790v1_genomic.fna
57 , 1,7M , GCF_000007925.1_ASM792v1_genomic.fna
58 , 1,7M , GCF_000007945.1_ASM794v1_genomic.fna
59 , 3,7M , GCF_000007985.2_ASM798v2_genomic.fna
60 , 5,3M , GCF_000008005.1_ASM800v1_genomic.fna
61 , 1,3M , GCF_000008025.1_ASM802v1_genomic.fna
62 , 1,1M , GCF_000008045.1_ASM804v1_genomic.fna
63 , 2,0M , GCF_000008065.1_ASM806v1_genomic.fna
64 , 4,8M , GCF_000008105.1_ASM810v1_genomic.fna
65 , 2,1M , GCF_000008125.1_ASM812v1_genomic.fna
66 , 3,2M , GCF_000008145.1_ASM814v1_genomic.fna
67 , 5,1M , GCF_000008165.1_ASM816v1_genomic.fna
68 , 2,8M , GCF_000008185.1_ASM818v1_genomic.fna
69 , 888K , GCF_000008205.1_ASM820v1_genomic.fna
70 , 910K , GCF_000008225.1_ASM822v1_genomic.fna
71 , 791K , GCF_000008245.1_ASM824v1_genomic.fna
72 , 2,9M , GCF_000008285.1_ASM828v1_genomic.fna
73 , 785K , GCF_000008305.1_ASM830v1_genomic.fna
74 , 3,2M , GCF_000008325.1_ASM832v1_genomic.fna
75 , 2,5M , GCF_000008345.1_ASM834v1_genomic.fna
76 , 769K , GCF_000008365.1_ASM836v1_genomic.fna
77 , 1,1M , GCF_000008385.1_ASM838v1_genomic.fna
78 , 883K , GCF_000008405.1_ASM840v1_genomic.fna
79 , 4,1M , GCF_000008425.1_ASM842v1_genomic.fna
80 , 5,4M , GCF_000008445.1_ASM844v1_genomic.fna
81 , 2,8M , GCF_000008465.1_ASM846v1_genomic.fna
82 , 3,3M , GCF_000008485.1_ASM848v1_genomic.fna
83 , 5,2M , GCF_000008505.1_ASM850v1_genomic.fna
84 , 1,8M , GCF_000008545.1_ASM854v1_genomic.fna
85 , 3,2M , GCF_000008565.1_ASM856v1_genomic.fna
86 , 4,3M , GCF_000008585.1_ASM858v1_genomic.fna
87 , 1,1M , GCF_000008605.1_ASM860v1_genomic.fna
88 , 1,6M , GCF_000008625.1_ASM862v1_genomic.fna
89 , 1,5M , GCF_000008685.2_ASM868v2_genomic.fna
90 , 1,1M , GCF_000008725.1_ASM872v1_genomic.fna
91 , 1,2M , GCF_000008745.1_ASM874v1_genomic.fna
92 , 4,0M , GCF_000008765.1_ASM876v1_genomic.fna
93 , 1,6M , GCF_000008785.1_ASM878v1_genomic.fna
94 , 2,2M , GCF_000008805.1_ASM880v1_genomic.fna
95 , 5,5M , GCF_000008865.2_ASM886v2_genomic.fna
96 , 2,1M , GCF_000008925.1_ASM892v1_genomic.fna
97 , 2,4M , GCF_000008945.1_ASM894v1_genomic.fna
98 , 1,9M , GCF_000008985.1_ASM898v1_genomic.fna
99 , 2,7M , GCF_000009005.1_ASM900v1_genomic.fna
100 , 1,4M , GCF_000009025.1_ASM902v1_genomic.fna
101 , 4,1M , GCF_000009045.1_ASM904v1_genomic.fna
102 , 4,7M , GCF_000009065.1_ASM906v1_genomic.fna
103 , 1,6M , GCF_000009085.1_ASM908v1_genomic.fna
104 , 2,2M , GCF_000009105.1_ASM910v1_genomic.fna
105 , 5,7M , GCF_000009125.1_ASM912v1_genomic.fna
106 , 2,8M , GCF_000009145.1_ASM914v1_genomic.fna
107 , 5,3M , GCF_000009165.1_ASM916v1_genomic.fna
108 , 4,2M , GCF_000009205.2_ASM920v2_genomic.fna
109 , 1,9M , GCF_000009245.1_ASM924v1_genomic.fna
110 , 7,5M , GCF_000009265.1_ASM926v1_genomic.fna
111 , 7,2M , GCF_000009285.1_ASM928v2_genomic.fna
112 , 1,6M , GCF_000009305.1_ASM930v1_genomic.fna
113 , 1,9M , GCF_000009325.1_ASM932v1_genomic.fna
114 , 4,6M , GCF_000009345.1_ASM934v1_genomic.fna
115 , 3,1M , GCF_000009365.1_ASM936v1_genomic.fna
116 , 1,8M , GCF_000009385.1_ASM938v1_genomic.fna
117 , 2,5M , GCF_000009405.1_ASM940v1_genomic.fna
118 , 2,5M , GCF_000009425.1_ASM942v1_genomic.fna
119 , 4,3M , GCF_000009445.1_ASM944v1_genomic.fna
120 , 2,2M , GCF_000009465.1_ASM946v1_genomic.fna
121 , 7,8M , GCF_000009485.1_ASM948v1_genomic.fna
122 , 4,6M , GCF_000009505.1_ASM950v1_genomic.fna
123 , 4,5M , GCF_000009525.1_ASM952v1_genomic.fna
124 , 1,8M , GCF_000009545.1_ASM954v1_genomic.fna
125 , 4,5M , GCF_000009565.1_ASM956v1_genomic.fna
126 , 2,8M , GCF_000009585.1_ASM958v1_genomic.fna
127 , 649K , GCF_000009605.1_ASM960v1_genomic.fna
128 , 7,4M , GCF_000009625.1_ASM962v1_genomic.fna
129 , 2,8M , GCF_000009645.1_ASM964v1_genomic.fna
130 , 2,9M , GCF_000009665.1_ASM966v1_genomic.fna
131 , 3,0M , GCF_000009685.1_ASM968v1_genomic.fna
132 , 7,0M , GCF_000009705.1_ASM970v1_genomic.fna
133 , 3,9M , GCF_000009725.1_ASM972v1_genomic.fna
134 , 5,1M , GCF_000009745.1_ASM974v1_genomic.fna
135 , 8,9M , GCF_000009765.2_ASM976v2_genomic.fna
136 , 3,5M , GCF_000009785.1_ASM978v1_genomic.fna
137 , 6,1M , GCF_000009805.1_ASM980v1_genomic.fna
138 , 4,2M , GCF_000009825.1_ASM982v1_genomic.fna
139 , 2,7M , GCF_000009865.1_ASM986v1_genomic.fna
140 , 5,3M , GCF_000009885.1_ASM988v1_genomic.fna
141 , 3,5M , GCF_000009905.1_ASM990v1_genomic.fna
142 , 5,2M , GCF_000009925.1_ASM992v1_genomic.fna
143 , 1,2M , GCF_000009945.1_ASM994v1_genomic.fna
144 , 4,8M , GCF_000009985.1_ASM998v1_genomic.fna
145 , 2,0M , GCF_000010005.1_ASM1000v1_genomic.fna
146 , 4,8M , GCF_000010025.1_ASM1002v1_genomic.fna
147 , 5,6M , GCF_000010045.1_ASM1004v1_genomic.fna
148 , 2,7M , GCF_000010065.1_ASM1006v1_genomic.fna
149 , 4,2M , GCF_000010085.1_ASM1008v1_genomic.fna
150 , 6,7M , GCF_000010105.1_ASM1010v1_genomic.fna
151 , 2,5M , GCF_000010125.1_ASM1012v1_genomic.fna
152 , 2,1M , GCF_000010145.1_ASM1014v1_genomic.fna
153 , 6,1M , GCF_000010165.1_ASM1016v1_genomic.fna
154 , 2,0M , GCF_000010185.1_ASM1018v1_genomic.fna
155 , 2,0M , GCF_000010205.1_ASM1020v1_genomic.fna
156 , 3,3M , GCF_000010225.1_ASM1022v1_genomic.fna
157 , 4,5M , GCF_000010245.2_ASM1024v1_genomic.fna
158 , 3,9M , GCF_000010265.1_ASM1026v1_genomic.fna
159 , 2,7M , GCF_000010285.1_ASM1028v1_genomic.fna
160 , 4,5M , GCF_000010305.1_ASM1030v1_genomic.fna
161 , 1,9M , GCF_000010325.1_ASM1032v1_genomic.fna
162 , 2,5M , GCF_000010345.1_ASM1034v1_genomic.fna
163 , 158K , GCF_000010365.1_ASM1036v1_genomic.fna
164 , 5,0M , GCF_000010385.1_ASM1038v1_genomic.fna
165 , 1011K , GCF_000010405.1_ASM1040v1_genomic.fna
166 , 2,1M , GCF_000010425.1_ASM1042v1_genomic.fna
167 , 2,8M , GCF_000010445.1_ASM1044v1_genomic.fna
168 , 2,8M , GCF_000010465.1_ASM1046v1_genomic.fna
169 , 4,7M , GCF_000010485.1_ASM1048v1_genomic.fna
170 , 2,3M , GCF_000010505.1_ASM1050v1_genomic.fna
171 , 5,2M , GCF_000010525.1_ASM1052v1_genomic.fna
172 , 6,8M , GCF_000010545.1_ASM1054v1_genomic.fna
173 , 2,2M , GCF_000010585.1_ASM1058v1_genomic.fna
174 , 8,3M , GCF_000010605.1_ASM1060v1_genomic.fna
175 , 5,7M , GCF_000010625.1_ASM1062v1_genomic.fna
176 , 1,2M , GCF_000010645.1_ASM1064v1_genomic.fna
177 , 5,2M , GCF_000010665.1_ASM1066v1_genomic.fna
178 , 4,3M , GCF_000010685.1_ASM1068v1_genomic.fna
179 , 2,1M , GCF_000010705.1_ASM1070v1_genomic.fna
180 , 7,4M , GCF_000010725.1_ASM1072v1_genomic.fna
181 , 5,4M , GCF_000010745.1_ASM1074v1_genomic.fna
182 , 5,6M , GCF_000010765.1_ASM1076v1_genomic.fna
183 , 1,7M , GCF_000010785.1_ASM1078v1_genomic.fna
184 , 8,6M , GCF_000010805.1_ASM1080v1_genomic.fna
185 , 3,3M , GCF_000010825.1_ASM1082v1_genomic.fna
186 , 3,3M , GCF_000010845.1_ASM1084v1_genomic.fna
187 , 3,3M , GCF_000010865.1_ASM1086v1_genomic.fna
188 , 3,3M , GCF_000010885.1_ASM1088v1_genomic.fna
189 , 3,3M , GCF_000010905.1_ASM1090v1_genomic.fna
190 , 3,3M , GCF_000010925.1_ASM1092v1_genomic.fna
191 , 3,2M , GCF_000010945.1_ASM1094v1_genomic.fna
192 , 3,3M , GCF_000010965.1_ASM1096v1_genomic.fna
193 , 2,5M , GCF_000010985.1_ASM1098v1_genomic.fna
194 , 2,2M , GCF_000011025.1_ASM1102v1_genomic.fna
195 , 3,0M , GCF_000011045.1_ASM1104v1_genomic.fna
196 , 6,1M , GCF_000011065.1_ASM1106v1_genomic.fna
197 , 4,1M , GCF_000011145.1_ASM1114v1_genomic.fna
198 , 1,2M , GCF_000011165.1_ASM1116v1_genomic.fna
199 , 1,4M , GCF_000011225.1_ASM1122v1_genomic.fna
200 , 3,6M , GCF_000011245.1_ASM1124v1_genomic.fna
201 , 2,8M , GCF_000011265.1_ASM1126v1_genomic.fna
202 , 1,9M , GCF_000011285.1_ASM1128v1_genomic.fna
203 , 3,2M , GCF_000011305.1_ASM1130v1_genomic.fna
204 , 3,2M , GCF_000011325.1_ASM1132v1_genomic.fna
205 , 2,6M , GCF_000011345.1_ASM1134v1_genomic.fna
206 , 8,8M , GCF_000011365.1_ASM1136v1_genomic.fna
207 , 4,5M , GCF_000011385.1_ASM1138v1_genomic.fna
208 , 1,9M , GCF_000011405.1_ASM1140v1_genomic.fna
209 , 1,2M , GCF_000011445.1_ASM1144v1_genomic.fna
210 , 1,7M , GCF_000011465.1_ASM1146v1_genomic.fna
211 , 2,4M , GCF_000011485.1_ASM1148v1_genomic.fna
212 , 2,9M , GCF_000011505.1_ASM1150v1_genomic.fna
213 , 2,8M , GCF_000011525.1_ASM1152v1_genomic.fna
214 , 7,0M , GCF_000011545.1_ASM1154v1_genomic.fna
215 , 2,4M , GCF_000011565.2_ASM1156v2_genomic.fna
216 , 4,9M , GCF_000011605.1_ASM1160v1_genomic.fna
217 , 5,7M , GCF_000011625.1_ASM1162v1_genomic.fna
218 , 4,1M , GCF_000011645.1_ASM1164v1_genomic.fna
219 , 1,9M , GCF_000011665.1_ASM1166v1_genomic.fna
220 , 2,9M , GCF_000011685.1_ASM1168v1_genomic.fna
221 , 5,7M , GCF_000011705.1_ASM1170v1_genomic.fna
222 , 1,6M , GCF_000011725.1_ASM1172v1_genomic.fna
223 , 783K , GCF_000011745.1_ASM1174v1_genomic.fna
224 , 1,8M , GCF_000011765.3_ASM1176v2_genomic.fna
225 , 4,2M , GCF_000011805.1_ASM1180v1_genomic.fna
226 , 1,8M , GCF_000011825.1_ASM1182v1_genomic.fna
227 , 1,8M , GCF_000011845.1_ASM1184v1_genomic.fna
228 , 1,8M , GCF_000011865.1_ASM1186v1_genomic.fna
229 , 4,5M , GCF_000011885.1_ASM1188v1_genomic.fna
230 , 1,5M , GCF_000011905.1_ASM1190v1_genomic.fna
231 , 2,6M , GCF_000011925.1_ASM1192v1_genomic.fna
232 , 1,2M , GCF_000011945.1_ASM1194v1_genomic.fna
233 , 4,5M , GCF_000011965.2_ASM1196v2_genomic.fna
234 , 2,0M , GCF_000011985.1_ASM1198v1_genomic.fna
235 , 4,5M , GCF_000012005.1_ASM1200v1_genomic.fna
236 , 4,5M , GCF_000012025.1_ASM1202v1_genomic.fna
237 , 2,8M , GCF_000012045.1_ASM1204v1_genomic.fna
238 , 1,2M , GCF_000012085.2_ASM1208v2_genomic.fna
239 , 5,0M , GCF_000012105.1_ASM1210v1_genomic.fna
240 , 1,1M , GCF_000012125.1_ASM1212v1_genomic.fna
241 , 1,9M , GCF_000012165.2_ASM1216v2_genomic.fna
242 , 1,9M , GCF_000012185.1_ASM1218v1_genomic.fna
243 , 6,0M , GCF_000012205.1_ASM1220v1_genomic.fna
244 , 717K , GCF_000012225.1_ASM1222v1_genomic.fna
245 , 5,9M , GCF_000012245.1_ASM1224v1_genomic.fna
246 , 6,9M , GCF_000012265.1_ASM1226v1_genomic.fna
247 , 2,6M , GCF_000012305.1_ASM1230v1_genomic.fna
248 , 5,2M , GCF_000012325.1_ASM1232v1_genomic.fna
249 , 1,3M , GCF_000012345.1_ASM1234v1_genomic.fna
250 , 6,5M , GCF_000012365.1_ASM1236v1_genomic.fna
251 , 1,5M , GCF_000012385.1_ASM1238v1_genomic.fna
252 , 6,3M , GCF_000012445.1_ASM1244v1_genomic.fna
253 , 1,8M , GCF_000012465.1_ASM1246v1_genomic.fna
254 , 2,3M , GCF_000012485.1_ASM1248v1_genomic.fna
255 , 2,2M , GCF_000012505.1_ASM1250v1_genomic.fna
256 , 2,7M , GCF_000012525.1_ASM1252v1_genomic.fna
257 , 1,3M , GCF_000012565.1_ASM1256v1_genomic.fna
258 , 2,5M , GCF_000012625.1_ASM1262v1_genomic.fna
259 , 1,7M , GCF_000012645.1_ASM1264v1_genomic.fna
260 , 3,7M , GCF_000012665.1_ASM1266v1_genomic.fna
261 , 8,9M , GCF_000012685.1_ASM1268v1_genomic.fna
262 , 2,1M , GCF_000012705.1_ASM1270v1_genomic.fna
263 , 3,3M , GCF_000012725.1_ASM1272v1_genomic.fna
264 , 2,9M , GCF_000012745.1_ASM1274v1_genomic.fna
265 , 999K , GCF_000012765.1_ASM1276v1_genomic.fna
266 , 7,1M , GCF_000012785.1_ASM1278v1_genomic.fna
267 , 3,5M , GCF_000012805.1_ASM1280v1_genomic.fna
268 , 5,0M , GCF_000012825.1_ASM1282v1_genomic.fna
269 , 4,7M , GCF_000012845.1_ASM1284v1_genomic.fna
270 , 2,4M , GCF_000012865.1_ASM1286v1_genomic.fna
271 , 3,6M , GCF_000012885.1_ASM1288v1_genomic.fna
272 , 3,9M , GCF_000012925.1_ASM1292v1_genomic.fna
273 , 8,4M , GCF_000012945.1_ASM1294v1_genomic.fna
274 , 2,2M , GCF_000012965.1_ASM1296v1_genomic.fna
275 , 7,0M , GCF_000012985.1_ASM1298v1_genomic.fna
276 , 3,0M , GCF_000013005.1_ASM1300v1_genomic.fna
277 , 3,6M , GCF_000013025.1_ASM1302v1_genomic.fna
278 , 3,5M , GCF_000013045.1_ASM1304v1_genomic.fna
279 , 5,4M , GCF_000013065.1_ASM1306v1_genomic.fna
280 , 4,3M , GCF_000013085.1_ASM1308v1_genomic.fna
281 , 1,5M , GCF_000013125.1_ASM1312v1_genomic.fna
282 , 1,2M , GCF_000013145.1_ASM1314v1_genomic.fna
283 , 850K , GCF_000013165.1_ASM1316v1_genomic.fna
284 , 679K , GCF_000013185.1_ASM1318v1_genomic.fna
285 , 2,9M , GCF_000013205.1_ASM1320v1_genomic.fna
286 , 3,0M , GCF_000013225.1_ASM1322v1_genomic.fna
287 , 1,6M , GCF_000013245.1_ASM1324v1_genomic.fna
288 , 5,1M , GCF_000013265.1_ASM1326v1_genomic.fna
289 , 3,2M , GCF_000013285.1_ASM1328v1_genomic.fna
290 , 4,8M , GCF_000013305.1_ASM1330v1_genomic.fna
291 , 4,1M , GCF_000013325.1_ASM1332v1_genomic.fna
292 , 5,3M , GCF_000013345.1_ASM1334v1_genomic.fna
293 , 5,2M , GCF_000013365.1_ASM1336v1_genomic.fna
294 , 4,9M , GCF_000013385.1_ASM1338v1_genomic.fna
295 , 3,1M , GCF_000013405.1_ASM1340v1_genomic.fna
296 , 2,8M , GCF_000013425.1_ASM1342v1_genomic.fna
297 , 2,9M , GCF_000013465.1_ASM1346v1_genomic.fna
298 , 1,8M , GCF_000013485.1_ASM1348v1_genomic.fna
299 , 1,9M , GCF_000013505.1_ASM1350v1_genomic.fna
300 , 1,9M , GCF_000013545.1_ASM1354v1_genomic.fna
301 , 4,3M , GCF_000013565.1_ASM1356v1_genomic.fna
302 , 4,5M , GCF_000013585.1_ASM1358v1_genomic.fna
303 , 4,8M , GCF_000013605.1_ASM1360v1_genomic.fna
304 , 4,0M , GCF_000013625.1_ASM1362v1_genomic.fna
305 , 9,4M , GCF_000013645.1_ASM1364v1_genomic.fna
306 , 4,9M , GCF_000013665.1_ASM1366v1_genomic.fna
307 , 2,9M , GCF_000013705.1_ASM1370v1_genomic.fna
308 , 4,4M , GCF_000013765.1_ASM1376v1_genomic.fna
309 , 4,5M , GCF_000013785.1_ASM1378v1_genomic.fna
310 , 4,5M , GCF_000013805.1_ASM1380v1_genomic.fna
311 , 4,8M , GCF_000013825.1_ASM1382v1_genomic.fna
312 , 2,9M , GCF_000013845.2_ASM1384v2_genomic.fna
313 , 5,7M , GCF_000013865.1_ASM1386v1_genomic.fna
314 , 4,9M , GCF_000013885.1_ASM1388v1_genomic.fna
315 , 3,0M , GCF_000013905.1_ASM1390v1_genomic.fna
316 , 5,7M , GCF_000013925.1_ASM1392v2_genomic.fna
317 , 3,3M , GCF_000013985.1_ASM1398v1_genomic.fna
318 , 5,5M , GCF_000014005.1_ASM1400v1_genomic.fna
319 , 2,3M , GCF_000014025.1_ASM1402v1_genomic.fna
320 , 4,2M , GCF_000014045.1_ASM1404v1_genomic.fna
321 , 4,1M , GCF_000014065.1_ASM1406v1_genomic.fna
322 , 2,1M , GCF_000014105.1_ASM1410v1_genomic.fna
323 , 2,5M , GCF_000014125.1_ASM1412v1_genomic.fna
324 , 4,3M , GCF_000014145.1_ASM1414v1_genomic.fna
325 , 3,2M , GCF_000014185.1_ASM1418v1_genomic.fna
326 , 2,4M , GCF_000014205.1_ASM1420v1_genomic.fna
327 , 2,7M , GCF_000014285.2_ASM1428v2_genomic.fna
328 , 1,2M , GCF_000014345.1_ASM1434v1_genomic.fna
329 , 2,0M , GCF_000014365.2_ASM1436v2_genomic.fna
330 , 1,8M , GCF_000014385.1_ASM1438v1_genomic.fna
331 , 1,8M , GCF_000014405.1_ASM1440v1_genomic.fna
332 , 1,9M , GCF_000014425.1_ASM1442v1_genomic.fna
333 , 2,1M , GCF_000014445.1_ASM1444v1_genomic.fna
334 , 2,3M , GCF_000014465.1_ASM1446v1_genomic.fna
335 , 1,9M , GCF_000014485.1_ASM1448v1_genomic.fna
336 , 1,8M , GCF_000014505.1_ASM1450v1_genomic.fna
337 , 2,9M , GCF_000014525.1_ASM1452v1_genomic.fna
338 , 2,6M , GCF_000014545.1_ASM1454v1_genomic.fna
339 , 9,4M , GCF_000014565.1_ASM1456v1_genomic.fna
340 , 2,6M , GCF_000014585.1_ASM1458v1_genomic.fna
341 , 1,9M , GCF_000014605.1_ASM1460v1_genomic.fna
342 , 6,4M , GCF_000014625.1_ASM1462v1_genomic.fna
343 , 1,9M , GCF_000014645.1_ASM1464v1_genomic.fna
344 , 4,6M , GCF_000014685.1_ASM1468v1_genomic.fna
345 , 4,7M , GCF_000014705.1_ASM1470v1_genomic.fna
346 , 2,9M , GCF_000014725.1_ASM1472v1_genomic.fna
347 , 3,3M , GCF_000014745.1_ASM1474v1_genomic.fna
348 , 2,7M , GCF_000014765.1_ASM1476v1_genomic.fna
349 , 3,2M , GCF_000014785.1_ASM1478v1_genomic.fna
350 , 4,6M , GCF_000014805.1_ASM1480v1_genomic.fna
351 , 5,4M , GCF_000014845.1_ASM1484v1_genomic.fna
352 , 4,6M , GCF_000014865.1_ASM1486v1_genomic.fna
353 , 5,3M , GCF_000014885.1_ASM1488v1_genomic.fna
354 , 5,1M , GCF_000014925.1_ASM1492v1_genomic.fna
355 , 4,9M , GCF_000014965.1_ASM1496v1_genomic.fna
356 , 5,3M , GCF_000014985.1_ASM1498v1_genomic.fna
357 , 6,8M , GCF_000015005.1_ASM1500v1_genomic.fna
358 , 2,4M , GCF_000015025.1_ASM1502v1_genomic.fna
359 , 4,1M , GCF_000015045.1_ASM1504v1_genomic.fna
360 , 5,2M , GCF_000015065.1_ASM1506v1_genomic.fna
361 , 1,8M , GCF_000015085.1_ASM1508v1_genomic.fna
362 , 1,2M , GCF_000015105.1_ASM1510v1_genomic.fna
363 , 3,1M , GCF_000015125.1_ASM1512v1_genomic.fna
364 , 8,3M , GCF_000015165.1_ASM1516v1_genomic.fna
365 , 4,6M , GCF_000015185.1_ASM1518v1_genomic.fna
366 , 4,2M , GCF_000015245.1_ASM1524v1_genomic.fna
367 , 5,2M , GCF_000015265.1_ASM1526v1_genomic.fna
368 , 4,5M , GCF_000015285.1_ASM1528v1_genomic.fna
369 , 6,3M , GCF_000015305.1_ASM1530v1_genomic.fna
370 , 5,2M , GCF_000015325.1_ASM1532v1_genomic.fna
371 , 1,4M , GCF_000015345.1_ASM1534v1_genomic.fna
372 , 4,7M , GCF_000015365.1_ASM1536v1_genomic.fna
373 , 2,1M , GCF_000015385.1_ASM1538v1_genomic.fna
374 , 1,4M , GCF_000015445.1_ASM1544v1_genomic.fna
375 , 5,1M , GCF_000015465.1_ASM1546v1_genomic.fna
376 , 3,6M , GCF_000015485.1_ASM1548v1_genomic.fna
377 , 5,2M , GCF_000015505.1_ASM1550v1_genomic.fna
378 , 1,7M , GCF_000015525.1_ASM1552v1_genomic.fna
379 , 5,5M , GCF_000015565.1_ASM1556v1_genomic.fna
380 , 2,6M , GCF_000015585.1_ASM1558v1_genomic.fna
381 , 5,6M , GCF_000015605.1_ASM1560v1_genomic.fna
382 , 5,7M , GCF_000015625.1_ASM1562v1_genomic.fna
383 , 1,7M , GCF_000015645.1_ASM1564v1_genomic.fna
384 , 1,7M , GCF_000015665.1_ASM1566v1_genomic.fna
385 , 1,9M , GCF_000015685.1_ASM1568v1_genomic.fna
386 , 2,6M , GCF_000015705.1_ASM1570v1_genomic.fna
387 , 4,5M , GCF_000015725.1_ASM1572v1_genomic.fna
388 , 3,5M , GCF_000015745.1_ASM1574v1_genomic.fna
389 , 3,8M , GCF_000015785.2_ASM1578v2_genomic.fna
390 , 5,2M , GCF_000015845.1_ASM1584v1_genomic.fna
391 , 3,8M , GCF_000015865.1_ASM1586v1_genomic.fna
392 , 2,2M , GCF_000015885.1_ASM1588v1_genomic.fna
393 , 6,8M , GCF_000015905.1_ASM1590v1_genomic.fna
394 , 6,9M , GCF_000015925.1_ASM1592v1_genomic.fna
395 , 1,6M , GCF_000015965.1_ASM1596v1_genomic.fna
396 , 4,9M , GCF_000016045.1_ASM1604v1_genomic.fna
397 , 4,5M , GCF_000016065.1_ASM1606v1_genomic.fna
398 , 1,9M , GCF_000016105.1_ASM1610v1_genomic.fna
399 , 4,3M , GCF_000016145.1_ASM1614v1_genomic.fna
400 , 3,5M , GCF_000016165.1_ASM1616v1_genomic.fna
401 , 4,3M , GCF_000016185.1_ASM1618v1_genomic.fna
402 , 4,0M , GCF_000016245.1_ASM1624v1_genomic.fna
403 , 7,1M , GCF_000016265.1_ASM1626v1_genomic.fna
404 , 6,2M , GCF_000016285.1_ASM1628v1_genomic.fna
405 , 5,5M , GCF_000016305.1_ASM1630v1_genomic.fna
406 , 2,1M , GCF_000016345.1_ASM1634v1_genomic.fna
407 , 5,1M , GCF_000016425.1_ASM1642v1_genomic.fna
408 , 4,6M , GCF_000016445.1_ASM1644v1_genomic.fna
409 , 3,9M , GCF_000016505.1_ASM1650v1_genomic.fna
410 , 2,9M , GCF_000016545.1_ASM1654v1_genomic.fna
411 , 1,4M , GCF_000016625.1_ASM1662v1_genomic.fna
412 , 5,9M , GCF_000016645.1_ASM1664v1_genomic.fna
413 , 5,7M , GCF_000016665.1_ASM1666v1_genomic.fna
414 , 2,2M , GCF_000016685.1_ASM1668v1_genomic.fna
415 , 3,9M , GCF_000016725.1_ASM1672v1_genomic.fna
416 , 5,0M , GCF_000016745.1_ASM1674v1_genomic.fna
